matrix,size,model,variant,runCount,successCount,errorCount,submittedCount,qualityPassCount,avgCompactionPasses,tokenTotalP70,tokenTotalP95,timeTotalMsP70,timeTotalMsP95,runtimeWorkingSetMiBP70,runtimeWorkingSetMiBP95,expensePrecisionP70,expensePrecisionP95,expenseRecallP70,expenseRecallP95,expenseF1P70,expenseF1P95,rawReportPath,publishedReadoutPath
"baseline",10,"haiku","just-bash",20,20,0,20,20,0,162725,203662,71137,107280,47.13,85.09,0.333,0.5,1,1,0.5,0.667,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-haiku/company-spend-audit-benchmark-2026-04-25T18-55-28-162Z-54608-525226a1.json","published-results/readouts/baseline-size-10-model-haiku.md"
"baseline",10,"haiku","sandbox",20,20,0,20,20,0,188753,251137,77844,102029,5.64,5.69,0.333,0.5,1,1,0.5,0.667,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-haiku/company-spend-audit-benchmark-2026-04-25T18-55-28-162Z-54608-525226a1.json","published-results/readouts/baseline-size-10-model-haiku.md"
"baseline",10,"haiku","tool",20,20,0,20,20,0,53589,91867,49824,79890,44.08,85.09,0.333,1,1,1,0.5,1,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-haiku/company-spend-audit-benchmark-2026-04-25T18-55-28-162Z-54608-525226a1.json","published-results/readouts/baseline-size-10-model-haiku.md"
"tool-compaction-only",10,"haiku","tool-compaction",20,20,0,20,20,0,47076,56167,42834,56913,4.7,5.88,0.333,1,1,1,0.5,1,"results/spend-audit-matrix-live-r20-tool-compaction-only-2026-04-26/size-10/model-haiku/company-spend-audit-benchmark-2026-04-26T18-27-55-910Z-61892-4baadfc7.json","published-results/readouts/tool-compaction-only-size-10-model-haiku.md"
"baseline",10,"opus","just-bash",20,20,0,20,20,0,101974,112480,66398,73542,36.16,54.98,1,1,1,1,1,1,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-opus/company-spend-audit-benchmark-2026-04-25T20-02-05-972Z-78480-f3cd0033.json","published-results/readouts/baseline-size-10-model-opus.md"
"baseline",10,"opus","sandbox",20,20,0,20,20,0,89820,114715,63998,74190,5.59,5.66,1,1,1,1,1,1,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-opus/company-spend-audit-benchmark-2026-04-25T20-02-05-972Z-78480-f3cd0033.json","published-results/readouts/baseline-size-10-model-opus.md"
"baseline",10,"opus","tool",20,20,0,20,20,0,30505,40238,47746,56558,31.95,54.98,1,1,1,1,1,1,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-opus/company-spend-audit-benchmark-2026-04-25T20-02-05-972Z-78480-f3cd0033.json","published-results/readouts/baseline-size-10-model-opus.md"
"tool-compaction-only",10,"opus","tool-compaction",20,20,0,20,20,0,30595,31308,48422,51210,2.86,4.22,1,1,1,1,1,1,"results/spend-audit-matrix-live-r20-tool-compaction-only-2026-04-26/size-10/model-opus/company-spend-audit-benchmark-2026-04-26T18-36-01-734Z-64267-fec4bd82.json","published-results/readouts/tool-compaction-only-size-10-model-opus.md"
"baseline",10,"sonnet","just-bash",20,20,0,20,20,0,158740,201646,110146,132289,44.13,131.83,0.5,1,1,1,0.667,1,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-sonnet/company-spend-audit-benchmark-2026-04-25T19-23-35-983Z-65583-5406c1c4.json","published-results/readouts/baseline-size-10-model-sonnet.md"
"baseline",10,"sonnet","sandbox",20,20,0,20,20,0,161486,179812,107550,123181,5.66,5.69,0.333,0.5,1,1,0.5,0.667,"results/spend-audit-matrix-live-r20-2026-04-25-v2/size-10/model-sonnet/company-spend-audit-benchmark-2026-04-25T19-23-35-983Z-65583-5406c1c4.json","published-results/readouts/baseline-size-10-model-sonnet.md"
